Rank,Title,Studio,Opening*,% of Total,Theaters,Avg.,Total Gross^,Date**
1,Avengers: Endgame,BV,"$357,115,007",42.6%,"4,662","$76,601","$837,645,161",4/26/2019
2,Avengers: Infinity War,BV,"$257,698,183",38.0%,"4,474","$57,599","$678,815,482",4/27/2018
3,Star Wars: The Force Awakens,BV,"$247,966,675",26.5%,"4,134","$59,982","$936,662,225",12/18/2015
4,Star Wars: The Last Jedi,BV,"$220,009,584",35.5%,"4,232","$51,987","$620,181,382",12/15/2017
5,Jurassic World,Uni.,"$208,806,270",32.0%,"4,274","$48,855","$652,270,625",6/12/2015
6,Marvel's The Avengers,BV,"$207,438,708",33.3%,"4,349","$47,698","$623,357,910",5/4/2012
7,Black Panther,BV,"$202,003,951",28.9%,"4,020","$50,250","$700,059,566",2/16/2018
8,Avengers: Age of Ultron,BV,"$191,271,109",41.7%,"4,276","$44,731","$459,005,868",5/1/2015
9,Incredibles 2,BV,"$182,687,905",30.0%,"4,410","$41,426","$608,581,744",6/15/2018
10,Captain America: Civil War,BV,"$179,139,142",43.9%,"4,226","$42,390","$408,084,349",5/6/2016
11,Beauty and the Beast (2017),BV,"$174,750,616",34.7%,"4,210","$41,508","$504,014,165",3/17/2017
12,Iron Man 3,BV,"$174,144,585",42.6%,"4,253","$40,946","$409,013,994",5/3/2013
13,Harry Potter and the Deathly Hallows Part 2,WB,"$169,189,427",44.4%,"4,375","$38,672","$381,011,219",7/15/2011
14,Batman v Superman: Dawn of Justice,WB,"$166,007,347",50.3%,"4,242","$39,134","$330,360,194",3/25/2016
15,The Dark Knight Rises,WB,"$160,887,295",35.9%,"4,404","$36,532","$448,139,099",7/20/2012
16,The Dark Knight,WB,"$158,411,483",29.7%,"4,366","$36,283","$533,345,358",7/18/2008
17,The Hunger Games: Catching Fire,LGF,"$158,074,286",37.2%,"4,163","$37,971","$424,668,047",11/22/2013
18,Rogue One: A Star Wars Story,BV,"$155,081,681",29.1%,"4,157","$37,306","$532,177,324",12/16/2016
19,Captain Marvel,BV,"$153,433,423",36.0%,"4,310","$35,599","$426,792,827",3/8/2019
20,The Hunger Games,LGF,"$152,535,747",37.4%,"4,137","$36,871","$408,010,692",3/23/2012
21,Spider-Man 3,Sony,"$151,116,516",44.9%,"4,252","$35,540","$336,530,303",5/4/2007
22,Jurassic World: Fallen Kingdom,Uni.,"$148,024,610",35.4%,"4,475","$33,078","$417,719,760",6/22/2018
23,Furious 7,Uni.,"$147,187,040",41.7%,"4,004","$36,760","$353,007,020",4/3/2015
24,Guardians of the Galaxy Vol. 2,BV,"$146,510,104",37.6%,"4,347","$33,704","$389,813,101",5/5/2017
25,The Twilight Saga: New Moon,Sum.,"$142,839,137",48.2%,"4,024","$35,497","$296,623,634",11/20/2009
26,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$141,067,634",48.3%,"4,070","$34,660","$292,324,737",11/16/2012
27,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$138,122,261",49.1%,"4,061","$34,012","$281,287,133",11/18/2011
28,Pirates of the Caribbean: Dead Man's Chest,BV,"$135,634,554",32.0%,"4,133","$32,817","$423,315,812",7/7/2006
29,Finding Dory,BV,"$135,060,273",27.8%,"4,305","$31,373","$486,295,561",6/17/2016
30,Suicide Squad,WB,"$133,682,248",41.1%,"4,255","$31,418","$325,100,054",8/5/2016
31,Deadpool,Fox,"$132,434,639",36.5%,"3,558","$37,222","$363,070,709",2/12/2016
32,Iron Man 2,Par.,"$128,122,480",41.0%,"4,380","$29,252","$312,433,331",5/7/2010
33,Deadpool 2,Fox,"$125,507,153",39.4%,"4,349","$28,859","$318,491,426",5/18/2018
34,Harry Potter and the Deathly Hallows Part 1,WB,"$125,017,372",42.2%,"4,125","$30,307","$295,983,305",11/19/2010
35,It,WB (NL),"$123,403,419",37.7%,"4,103","$30,076","$327,481,748",9/8/2017
36,Thor: Ragnarok,BV,"$122,744,989",39.0%,"4,080","$30,085","$315,058,289",11/3/2017
37,The Hunger Games: Mockingjay - Part 1,LGF,"$121,897,634",36.2%,"4,151","$29,366","$337,135,885",11/21/2014
38,Shrek the Third,P/DW,"$121,629,270",37.7%,"4,122","$29,507","$322,719,944",5/18/2007
39,Toy Story 4,BV,"$120,908,065",61.7%,"4,575","$26,428","$196,025,809",6/21/2019
40,Spider-Man: Homecoming,Sony,"$117,027,503",35.0%,"4,348","$26,915","$334,201,140",7/7/2017
41,Man of Steel,WB,"$116,619,362",40.1%,"4,207","$27,720","$291,045,518",6/14/2013
42,Alice in Wonderland (2010),BV,"$116,101,023",34.7%,"3,728","$31,143","$334,191,110",3/5/2010
43,Minions,Uni.,"$115,718,405",34.4%,"4,301","$26,905","$336,045,770",7/10/2015
44,Spider-Man,Sony,"$114,844,116",28.4%,"3,615","$31,769","$403,706,375",5/3/2002
45,Pirates of the Caribbean: At World's End,BV,"$114,732,820",37.1%,"4,362","$26,302","$309,420,425",5/25/2007
46,Toy Story 3,BV,"$110,307,189",26.6%,"4,028","$27,385","$415,004,880",6/18/2010
47,Transformers: Revenge of the Fallen,P/DW,"$108,966,307",27.1%,"4,234","$25,736","$402,111,870",6/24/2009
48,Star Wars: Episode III - Revenge of the Sith,Fox,"$108,435,841",28.5%,"3,661","$29,619","$380,270,577",5/19/2005
49,Shrek 2,DW,"$108,037,878",24.5%,"4,163","$25,951","$441,226,247",5/19/2004
50,The Secret Life of Pets,Uni.,"$104,352,905",28.3%,"4,370","$23,879","$368,384,330",7/8/2016
51,The Jungle Book (2016),BV,"$103,261,464",28.4%,"4,028","$25,636","$364,001,123",4/15/2016
52,Wonder Woman,WB,"$103,251,471",25.0%,"4,165","$24,790","$412,563,408",6/2/2017
53,X-Men: The Last Stand,Fox,"$102,750,665",43.8%,"3,690","$27,846","$234,362,462",5/26/2006
54,Harry Potter and the Goblet of Fire,WB,"$102,685,961",35.4%,"3,858","$26,616","$290,013,036",11/18/2005
55,The Hunger Games: Mockingjay - Part 2,LGF,"$102,665,981",36.4%,"4,175","$24,591","$281,723,902",11/20/2015
56,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$100,137,835",31.6%,"4,260","$23,507","$317,101,119",5/22/2008
57,Transformers: Age of Extinction,Par.,"$100,038,390",40.8%,"4,233","$23,633","$245,439,076",6/27/2014
58,The Fate of the Furious,Uni.,"$98,786,705",43.7%,"4,310","$22,920","$226,008,385",4/14/2017
59,Iron Man,Par.,"$98,618,668",31.0%,"4,105","$24,024","$318,412,101",5/2/2008
60,Transformers: Dark of the Moon,P/DW,"$97,852,865",27.8%,"4,088","$23,937","$352,390,543",6/29/2011
61,Fast & Furious 6,Uni.,"$97,375,245",40.8%,"3,658","$26,620","$238,679,850",5/24/2013
62,Captain America: The Winter Soldier,BV,"$95,023,721",36.6%,"3,938","$24,130","$259,766,572",4/4/2014
63,Guardians of the Galaxy,BV,"$94,320,883",28.3%,"4,080","$23,118","$333,176,600",8/1/2014
64,Justice League,WB,"$93,842,239",41.0%,"4,051","$23,165","$229,024,295",11/17/2017
65,Harry Potter and the Prisoner of Azkaban,WB,"$93,687,367",37.5%,"3,855","$24,302","$249,541,069",6/4/2004
66,Godzilla (2014),WB,"$93,188,384",46.4%,"3,952","$23,580","$200,676,069",5/16/2014
67,The Matrix Reloaded,WB,"$91,774,413",32.6%,"3,603","$25,471","$281,576,461",5/15/2003
68,The Amazing Spider-Man 2,Sony,"$91,608,337",45.2%,"4,324","$21,186","$202,853,933",5/2/2014
69,Aladdin (2019),BV,"$91,500,929",30.6%,"4,476","$20,443","$299,416,946",5/24/2019
70,X-Men: Days of Future Past,Fox,"$90,823,660",38.8%,"3,996","$22,729","$233,921,534",5/23/2014
71,Inside Out,BV,"$90,440,272",25.4%,"3,946","$22,919","$356,461,711",6/19/2015
72,Harry Potter and the Sorcerer's Stone,WB,"$90,294,621",28.4%,"3,672","$24,590","$317,575,550",11/16/2001
73,Pirates of the Caribbean: On Stranger Tides,BV,"$90,151,958",37.4%,"4,155","$21,697","$241,071,802",5/20/2011
74,American Sniper,WB,"$89,269,066",25.5%,"3,555","$25,111","$350,126,372",1/16/2015
75,Logan (2017),Fox,"$88,411,916",39.1%,"4,071","$21,717","$226,277,068",3/3/2017
76,Skyfall,Sony,"$88,364,714",29.0%,"3,505","$25,211","$304,360,277",11/9/2012
77,Harry Potter and the Chamber of Secrets,WB,"$88,357,488",33.7%,"3,682","$23,997","$261,988,482",11/15/2002
78,Spider-Man 2,Sony,"$88,156,227",23.6%,"4,152","$21,232","$373,585,825",6/30/2004
79,Fast Five,Uni.,"$86,198,765",41.1%,"3,644","$23,655","$209,837,675",4/29/2011
80,The Hangover Part II,WB,"$85,946,294",33.8%,"3,615","$23,775","$254,464,305",5/26/2011
81,Thor: The Dark World,BV,"$85,737,841",41.5%,"3,841","$22,322","$206,362,140",11/8/2013
82,X2: X-Men United,Fox,"$85,558,731",39.8%,"3,741","$22,870","$214,949,694",5/2/2003
83,Fifty Shades of Grey,Uni.,"$85,171,450",51.3%,"3,646","$23,360","$166,167,230",2/13/2015
84,Doctor Strange,BV,"$85,058,311",36.6%,"3,882","$21,911","$232,641,920",11/4/2016
85,X-Men Origins: Wolverine,Fox,"$85,058,003",47.3%,"4,099","$20,751","$179,883,157",5/1/2009
86,The Hobbit: An Unexpected Journey,WB (NL),"$84,617,303",27.9%,"4,045","$20,919","$303,003,568",12/14/2012
87,Solo: A Star Wars Story,BV,"$84,420,489",39.5%,"4,381","$19,270","$213,767,512",5/25/2018
88,The Passion of the Christ,NM,"$83,848,082",22.6%,"3,043","$27,554","$370,274,604",2/25/2004
89,Despicable Me 2,Uni.,"$83,517,315",22.7%,"3,997","$20,895","$368,061,265",7/3/2013
90,Monsters University,BV,"$82,429,469",30.7%,"4,004","$20,587","$268,492,764",6/21/2013
91,Venom (2018),Sony,"$80,255,756",37.6%,"4,250","$18,884","$213,515,506",10/5/2018
92,Star Wars: Episode II - Attack of the Clones,Fox,"$80,027,814",26.5%,"3,161","$25,317","$302,191,252",5/16/2002
93,Oz The Great and Powerful,BV,"$79,110,453",33.7%,"3,912","$20,223","$234,911,825",3/8/2013
94,Harry Potter and the Half-Blood Prince,WB,"$77,835,727",25.8%,"4,325","$17,997","$301,959,197",7/15/2009
95,I Am Legend,WB,"$77,211,321",30.1%,"3,606","$21,411","$256,393,010",12/14/2007
96,Harry Potter and the Order of the Phoenix,WB,"$77,108,414",26.4%,"4,285","$17,994","$292,004,738",7/11/2007
97,The Da Vinci Code,Sony,"$77,073,388",35.4%,"3,735","$20,635","$217,536,138",5/19/2006
98,Avatar,Fox,"$77,025,481",10.3%,"3,452","$22,313","$749,766,139",12/18/2009
99,Halloween (2018),Uni.,"$76,221,545",47.8%,"3,928","$19,405","$159,342,015",10/19/2018
100,Ant-Man and the Wasp,BV,"$75,812,205",35.0%,"4,206","$18,025","$216,648,740",7/6/2018
101,Star Trek,Par.,"$75,204,289",29.2%,"3,849","$19,539","$257,730,019",5/8/2009
102,Zootopia,BV,"$75,063,401",22.0%,"3,827","$19,614","$341,268,248",3/4/2016
103,Fantastic Beasts and Where To Find Them,WB,"$74,403,387",31.8%,"4,144","$17,954","$234,037,575",11/18/2016
104,The Simpsons Movie,Fox,"$74,036,787",40.4%,"3,922","$18,877","$183,135,014",7/27/2007
105,The Hobbit: The Desolation of Smaug,WB (NL),"$73,645,197",28.5%,"3,903","$18,869","$258,366,855",12/13/2013
106,Austin Powers in Goldmember,NL,"$73,071,188",34.3%,"3,613","$20,224","$213,307,889",7/26/2002
107,The Lord of the Rings: The Return of the King,NL,"$72,629,713",19.3%,"3,703","$19,613","$377,027,325",12/17/2003
108,Dawn of the Planet of the Apes,Fox,"$72,611,427",34.8%,"3,967","$18,304","$208,545,589",7/11/2014
109,Despicable Me 3,Uni.,"$72,434,025",27.4%,"4,529","$15,993","$264,624,300",6/30/2017
110,The Lost World: Jurassic Park,Uni.,"$72,132,785",31.5%,"3,281","$21,985","$229,086,679",5/23/1997
111,Us,Uni.,"$71,117,625",40.6%,"3,741","$19,010","$175,005,930",3/22/2019
112,Fast and Furious,Uni.,"$70,950,500",45.8%,"3,461","$20,500","$155,064,265",4/3/2009
113,300,WB,"$70,885,301",33.7%,"3,103","$22,844","$210,614,939",3/9/2007
114,Shrek Forever After,P/DW,"$70,838,207",29.7%,"4,359","$16,251","$238,736,787",5/21/2010
115,Transformers,P/DW,"$70,502,384",22.1%,"4,011","$17,577","$319,246,193",7/3/2007
116,The Incredibles,BV,"$70,467,623",27.0%,"3,933","$17,917","$261,441,092",11/5/2004
117,Spectre,Sony,"$70,403,148",35.2%,"3,929","$17,919","$200,074,609",11/6/2015
118,Finding Nemo,BV,"$70,251,710",20.7%,"3,374","$20,821","$339,714,978",5/30/2003
119,Dr. Seuss' The Lorax,Uni.,"$70,217,070",32.8%,"3,729","$18,830","$214,030,500",3/2/2012
120,Star Trek Into Darkness,Par.,"$70,165,559",30.7%,"3,868","$18,140","$228,778,661",5/16/2013
121,Twilight,Sum.,"$69,637,740",36.1%,"3,419","$20,368","$192,769,854",11/21/2008
122,Maleficent,BV,"$69,431,298",28.8%,"3,948","$17,586","$241,410,378",5/30/2014
123,The Bourne Ultimatum,Uni.,"$69,283,690",30.5%,"3,660","$18,929","$227,471,070",8/3/2007
124,Pitch Perfect 2,Uni.,"$69,216,890",37.6%,"3,473","$19,930","$184,296,230",5/15/2015
125,The LEGO Movie,WB,"$69,050,279",26.8%,"3,775","$18,291","$257,760,692",2/7/2014
126,The Day After Tomorrow,Fox,"$68,743,584",36.8%,"3,425","$20,071","$186,740,799",5/28/2004
127,Planet of the Apes (2001),Fox,"$68,532,960",38.1%,"3,500","$19,580","$180,011,740",7/27/2001
128,The Mummy Returns,Uni.,"$68,139,035",33.7%,"3,401","$20,035","$202,019,785",5/4/2001
129,Up,BV,"$68,108,790",23.2%,"3,766","$18,085","$293,004,164",5/29/2009
130,Ice Age: The Meltdown,Fox,"$68,033,544",34.8%,"3,964","$17,162","$195,330,621",3/31/2006
131,Bruce Almighty,Uni.,"$67,953,330",28.0%,"3,483","$19,510","$242,829,261",5/23/2003
132,Cinderella (2015),BV,"$67,877,361",33.7%,"3,845","$17,653","$201,151,353",3/13/2015
133,Aquaman,WB,"$67,873,522",20.3%,"4,125","$16,454","$335,061,807",12/21/2018
134,Dr. Seuss' The Grinch (2018),Uni.,"$67,572,855",25.0%,"4,141","$16,318","$270,620,950",11/9/2018
135,Quantum of Solace,Sony,"$67,528,882",40.1%,"3,451","$19,568","$168,368,427",11/14/2008
136,Rush Hour 2,NL,"$67,408,222",29.8%,"3,118","$21,619","$226,164,286",8/3/2001
137,Frozen,BV,"$67,391,326",16.8%,"3,742","$18,009","$400,738,009",11/27/2013
138,World War Z,Par.,"$66,411,834",32.8%,"3,607","$18,412","$202,359,711",6/21/2013
139,Brave,BV,"$66,323,594",28.0%,"4,164","$15,928","$237,283,207",6/22/2012
140,Cars 2,BV,"$66,135,507",34.5%,"4,115","$16,072","$191,452,396",6/24/2011
